State,Year,Estimate (%)
Alabama,2009-10,1.6
Alaska,2009-10,0.9
Arizona,2009-10,0.9
Arkansas,2009-10,0.7
California,2009-10,0.9
Colorado,2009-10,NR †
Connecticut,2009-10,0.8
Delaware,2009-10,0.7
District of Columbia,2009-10,1.2
Florida,2009-10,1.1
Georgia,2009-10,1.5
Hawaii,2009-10,2.9
Idaho,2009-10,0.7
Illinois,2009-10,1
Indiana,2009-10,1
Iowa,2009-10,1.3
Kansas,2009-10,0.9
Kentucky,2009-10,1.1
Louisiana,2009-10,1.4
Maine,2009-10,0.5
Maryland,2009-10,1
Massachusetts,2009-10,1
Michigan,2009-10,0.8
Minnesota,2009-10,0.6
Mississippi,2009-10,0.7
Missouri,2009-10,0.7
Montana,2009-10,0.6
Nebraska,2009-10,1
Nevada,2009-10,1.1
New Hampshire,2009-10,0.4
New Jersey,2009-10,0.8
New Mexico,2009-10,1.2
New York,2009-10,0.5
North Carolina,2009-10,1.2
North Dakota,2009-10,0.9
Ohio,2009-10,1
Oklahoma,2009-10,0.8
Oregon,2009-10,0.5
Pennsylvania,2009-10,0.6
United States,2009-10,1
Region 1,2009-10,0.8
Region 2,2009-10,0.6
Region 3,2009-10,0.8
Region 4,2009-10,1.2
Region 5,2009-10,0.9
Region 6,2009-10,1.3
Region 7,2009-10,0.9
Region 8,2009-10,1.3
Region 9,2009-10,1
Rhode Island,2009-10,1
South Carolina,2009-10,0.7
South Dakota,2009-10,0.7
Tennessee,2009-10,0.9
Texas,2009-10,1.4
Region 10,2009-10,0.6
Utah,2009-10,0.8
Vermont,2009-10,NR †
Virginia,2009-10,1.1
Washington,2009-10,0.6
West Virginia,2009-10,0.7
Wisconsin,2009-10,0.7
Wyoming,2009-10,0.8
Alabama,2009-10,9.5
Alaska,2009-10,8.3
Arizona,2009-10,8.7
Arkansas,2009-10,6.3
California,2009-10,6.5
Colorado,2009-10,9.7
Connecticut,2009-10,7.8
Delaware,2009-10,8.2
District of Columbia,2009-10,9.8
Florida,2009-10,7.7
Georgia,2009-10,9
Hawaii,2009-10,12.4
Idaho,2009-10,6.8
Illinois,2009-10,8.1
Indiana,2009-10,8.4
Iowa,2009-10,10.4
Kansas,2009-10,9.9
Kentucky,2009-10,9.6
Louisiana,2009-10,7.8
Maine,2009-10,7
Maryland,2009-10,9.6
Massachusetts,2009-10,10.3
Michigan,2009-10,7.6
Minnesota,2009-10,10.6
Mississippi,2009-10,6.4
Missouri,2009-10,7.8
Montana,2009-10,6.5
Nebraska,2009-10,9
Nevada,2009-10,6.2
New Hampshire,2009-10,7.3
New Jersey,2009-10,7.9
New Mexico,2009-10,9.2
New York,2009-10,7
North Carolina,2009-10,8.1
North Dakota,2009-10,9.1
Ohio,2009-10,8.5
Oklahoma,2009-10,7.1
Oregon,2009-10,8.2
Pennsylvania,2009-10,8.1
United States,2009-10,8.2
Region 1,2009-10,8.9
Region 2,2009-10,7.3
Region 3,2009-10,9.1
Region 4,2009-10,8.2
Region 5,2009-10,8.3
Region 6,2009-10,8.9
Region 7,2009-10,9
Region 8,2009-10,8.9
Region 9,2009-10,6.9
Rhode Island,2009-10,10.7
South Carolina,2009-10,7.4
South Dakota,2009-10,8.1
Tennessee,2009-10,8.1
Texas,2009-10,9.6
Region 10,2009-10,7.6
Utah,2009-10,8.5
Vermont,2009-10,4.9
Virginia,2009-10,10.8
Washington,2009-10,7.3
West Virginia,2009-10,6.8
Wisconsin,2009-10,7.5
Wyoming,2009-10,8.8
Alabama,2009-10,27.2
Alaska,2009-10,25
Arizona,2009-10,26.9
Arkansas,2009-10,28.1
California,2009-10,20.4
Colorado,2009-10,31.1
Connecticut,2009-10,28.4
Delaware,2009-10,28.1
District of Columbia,2009-10,28.7
Florida,2009-10,22.9
Georgia,2009-10,25.2
Hawaii,2009-10,33.8
Idaho,2009-10,23.4
Illinois,2009-10,26.6
Indiana,2009-10,29.9
Iowa,2009-10,32.8
Kansas,2009-10,29.5
Kentucky,2009-10,31.1
Louisiana,2009-10,26.1
Maine,2009-10,25.4
Maryland,2009-10,30
Massachusetts,2009-10,31.6
Michigan,2009-10,25
Minnesota,2009-10,32.4
Mississippi,2009-10,23.3
Missouri,2009-10,28.3
Montana,2009-10,25.2
Nebraska,2009-10,31.8
Nevada,2009-10,22.1
New Hampshire,2009-10,28.5
New Jersey,2009-10,26.4
New Mexico,2009-10,28.4
New York,2009-10,24.8
North Carolina,2009-10,28
North Dakota,2009-10,30.3
Ohio,2009-10,27
Oklahoma,2009-10,27.9
Oregon,2009-10,26.5
Pennsylvania,2009-10,28
United States,2009-10,26.4
Region 1,2009-10,29.8
Region 2,2009-10,25.3
Region 3,2009-10,29.6
Region 4,2009-10,26.2
Region 5,2009-10,27.2
Region 6,2009-10,26.8
Region 7,2009-10,30
Region 8,2009-10,29.9
Region 9,2009-10,21.7
Rhode Island,2009-10,30.5
South Carolina,2009-10,26.7
South Dakota,2009-10,32.8
Tennessee,2009-10,32.3
Texas,2009-10,26.4
Region 10,2009-10,25
Utah,2009-10,28.3
Vermont,2009-10,29.3
Virginia,2009-10,32.3
Washington,2009-10,24.5
West Virginia,2009-10,28
Wisconsin,2009-10,24.9
Wyoming,2009-10,30.5
Alabama,2009-10,36.7
Alaska,2009-10,36
Arizona,2009-10,37
Arkansas,2009-10,45.5
California,2009-10,31.1
Colorado,2009-10,42
Connecticut,2009-10,41
Delaware,2009-10,41.4
District of Columbia,2009-10,39.7
Florida,2009-10,33.2
Georgia,2009-10,33.5
Hawaii,2009-10,46.3
Idaho,2009-10,34.7
Illinois,2009-10,38
Indiana,2009-10,40.9
Iowa,2009-10,46.2
Kansas,2009-10,41
Kentucky,2009-10,41.8
Louisiana,2009-10,36.7
Maine,2009-10,39.5
Maryland,2009-10,41.1
Massachusetts,2009-10,45.1
Michigan,2009-10,34.2
Minnesota,2009-10,44.7
Mississippi,2009-10,33.4
Missouri,2009-10,38.9
Montana,2009-10,37
Nebraska,2009-10,45.7
Nevada,2009-10,30.9
New Hampshire,2009-10,44.1
New Jersey,2009-10,37.6
New Mexico,2009-10,40.5
New York,2009-10,36.7
North Carolina,2009-10,38.5
North Dakota,2009-10,42.4
Ohio,2009-10,38.5
Oklahoma,2009-10,39.8
Oregon,2009-10,37.2
Pennsylvania,2009-10,40.3
United States,2009-10,37.6
Region 1,2009-10,43.4
Region 2,2009-10,37
Region 3,2009-10,41.9
Region 4,2009-10,36.3
Region 5,2009-10,38.3
Region 6,2009-10,37.6
Region 7,2009-10,41.9
Region 8,2009-10,41.7
Region 9,2009-10,32.4
Rhode Island,2009-10,45.7
South Carolina,2009-10,38.7
South Dakota,2009-10,49.2
Tennessee,2009-10,42.2
Texas,2009-10,36.3
Region 10,2009-10,36.8
Utah,2009-10,40.6
Vermont,2009-10,43.2
Virginia,2009-10,45
Washington,2009-10,37.1
West Virginia,2009-10,42.6
Wisconsin,2009-10,37
Wyoming,2009-10,40.9
Alabama,2009-10,39.9
Alaska,2009-10,40.6
Arizona,2009-10,41.4
Arkansas,2009-10,50.9
California,2009-10,36.7
Colorado,2009-10,45.8
Connecticut,2009-10,45.4
Delaware,2009-10,45.5
District of Columbia,2009-10,44.4
Florida,2009-10,37.2
Georgia,2009-10,37.6
Hawaii,2009-10,52.1
Idaho,2009-10,38.5
Illinois,2009-10,42.6
Indiana,2009-10,44.9
Iowa,2009-10,51.4
Kansas,2009-10,46.8
Kentucky,2009-10,44.2
Louisiana,2009-10,41.1
Maine,2009-10,47.4
Maryland,2009-10,45.5
Massachusetts,2009-10,51.8
Michigan,2009-10,37.9
Minnesota,2009-10,50.5
Mississippi,2009-10,37.3
Missouri,2009-10,42.2
Montana,2009-10,40.1
Nebraska,2009-10,50.1
Nevada,2009-10,34.5
New Hampshire,2009-10,49.5
New Jersey,2009-10,41.6
New Mexico,2009-10,45.7
New York,2009-10,42.1
North Carolina,2009-10,42.5
North Dakota,2009-10,47.4
Ohio,2009-10,42.5
Oklahoma,2009-10,44.1
Oregon,2009-10,41.4
Pennsylvania,2009-10,45.2
United States,2009-10,42.1
Region 1,2009-10,49.6
Region 2,2009-10,41.9
Region 3,2009-10,46.4
Region 4,2009-10,40
Region 5,2009-10,42.7
Region 6,2009-10,41.9
Region 7,2009-10,46.2
Region 8,2009-10,45.8
Region 9,2009-10,37.6
Rhode Island,2009-10,52.6
South Carolina,2009-10,42.8
South Dakota,2009-10,54.8
Tennessee,2009-10,45
Texas,2009-10,40.4
Region 10,2009-10,41.5
Utah,2009-10,45.2
Vermont,2009-10,49.7
Virginia,2009-10,49.5
Washington,2009-10,42.3
West Virginia,2009-10,46.2
Wisconsin,2009-10,41.7
Wyoming,2009-10,44.3
Alabama,2009-10,42.7
Alaska,2009-10,41.9
Arizona,2009-10,44.1
Arkansas,2009-10,53
California,2009-10,40.8
Colorado,2009-10,47.4
Connecticut,2009-10,48.1
Delaware,2009-10,50
District of Columbia,2009-10,47.2
Florida,2009-10,39
Georgia,2009-10,39.9
Hawaii,2009-10,57.2
Idaho,2009-10,41
Illinois,2009-10,45.2
Indiana,2009-10,47.5
Iowa,2009-10,54.3
Kansas,2009-10,48.9
Kentucky,2009-10,46.1
Louisiana,2009-10,44.5
Maine,2009-10,51.2
Maryland,2009-10,48.4
Massachusetts,2009-10,56.3
Michigan,2009-10,40.7
Minnesota,2009-10,54.1
Mississippi,2009-10,39.9
Missouri,2009-10,44.3
Montana,2009-10,42.2
Nebraska,2009-10,52.9
Nevada,2009-10,36.8
New Hampshire,2009-10,54
New Jersey,2009-10,43.9
New Mexico,2009-10,49.8
New York,2009-10,45.3
North Carolina,2009-10,45.3
North Dakota,2009-10,50.2
Ohio,2009-10,45.4
Oklahoma,2009-10,46.3
Oregon,2009-10,43.8
Pennsylvania,2009-10,47.8
United States,2009-10,45
Region 1,2009-10,53.5
Region 2,2009-10,44.9
Region 3,2009-10,49.2
Region 4,2009-10,42.3
Region 5,2009-10,45.4
Region 6,2009-10,45
Region 7,2009-10,48.6
Region 8,2009-10,47.8
Region 9,2009-10,41.5
Rhode Island,2009-10,56.9
South Carolina,2009-10,45.2
South Dakota,2009-10,57.5
Tennessee,2009-10,47.1
Texas,2009-10,43.5
Region 10,2009-10,44.1
Utah,2009-10,47.5
Vermont,2009-10,53.7
Virginia,2009-10,52.2
Washington,2009-10,45.1
West Virginia,2009-10,48.1
Wisconsin,2009-10,44.1
Wyoming,2009-10,46.2
Alabama,2009-10,44.5
Alaska,2009-10,44.3
Arizona,2009-10,45.1
Arkansas,2009-10,54
California,2009-10,43.4
Colorado,2009-10,48.5
Connecticut,2009-10,50
Delaware,2009-10,51.5
District of Columbia,2009-10,48.6
Florida,2009-10,40.6
Georgia,2009-10,42
Hawaii,2009-10,59.9
Idaho,2009-10,42
Illinois,2009-10,47.1
Indiana,2009-10,49
Iowa,2009-10,55.6
Kansas,2009-10,50.3
Kentucky,2009-10,47.1
Louisiana,2009-10,46.8
Maine,2009-10,53.5
Maryland,2009-10,50.1
Massachusetts,2009-10,58.1
Michigan,2009-10,41.5
Minnesota,2009-10,55.4
Mississippi,2009-10,41.7
Missouri,2009-10,45.4
Montana,2009-10,43.2
Nebraska,2009-10,53.9
Nevada,2009-10,37.5
New Hampshire,2009-10,55.5
New Jersey,2009-10,44.9
New Mexico,2009-10,52.4
New York,2009-10,47.1
North Carolina,2009-10,47.2
North Dakota,2009-10,51.1
Ohio,2009-10,46.3
Oklahoma,2009-10,47.5
Oregon,2009-10,44.9
Pennsylvania,2009-10,48.9
United States,2009-10,46.6
Region 1,2009-10,55.4
Region 2,2009-10,46.4
Region 3,2009-10,50.5
Region 4,2009-10,43.9
Region 5,2009-10,46.8
Region 6,2009-10,46.5
Region 7,2009-10,49.8
Region 8,2009-10,49
Region 9,2009-10,43.8
Rhode Island,2009-10,59.5
South Carolina,2009-10,46.8
South Dakota,2009-10,58.5
Tennessee,2009-10,48.1
Texas,2009-10,44.9
Region 10,2009-10,45.5
Utah,2009-10,48.9
Vermont,2009-10,55.2
Virginia,2009-10,53.9
Washington,2009-10,46.8
West Virginia,2009-10,49.2
Wisconsin,2009-10,45.5
Wyoming,2009-10,47.2
Alabama,2009-10,45
Alaska,2009-10,44.7
Arizona,2009-10,45.8
Arkansas,2009-10,54.9
California,2009-10,44.4
Colorado,2009-10,49.2
Connecticut,2009-10,50.9
Delaware,2009-10,52.2
District of Columbia,2009-10,49.5
Florida,2009-10,41.1
Georgia,2009-10,43.1
Hawaii,2009-10,61
Idaho,2009-10,42.4
Illinois,2009-10,47.4
Indiana,2009-10,49.4
Iowa,2009-10,56
Kansas,2009-10,50.7
Kentucky,2009-10,47.8
Louisiana,2009-10,47.7
Maine,2009-10,54.4
Maryland,2009-10,50.5
Massachusetts,2009-10,58.6
Michigan,2009-10,42.2
Minnesota,2009-10,55.8
Mississippi,2009-10,42.3
Missouri,2009-10,45.6
Montana,2009-10,43.7
Nebraska,2009-10,54.3
Nevada,2009-10,38.1
New Hampshire,2009-10,56.1
New Jersey,2009-10,45.3
New Mexico,2009-10,53.1
New York,2009-10,48
North Carolina,2009-10,47.7
North Dakota,2009-10,51.4
Ohio,2009-10,46.7
Oklahoma,2009-10,48.3
Oregon,2009-10,45.4
Pennsylvania,2009-10,49.1
United States,2009-10,47.2
Region 1,2009-10,56.2
Region 2,2009-10,47.2
Region 3,2009-10,51.1
Region 4,2009-10,44.6
Region 5,2009-10,47.2
Region 6,2009-10,47.2
Region 7,2009-10,50.1
Region 8,2009-10,49.6
Region 9,2009-10,44.7
Rhode Island,2009-10,60.5
South Carolina,2009-10,47.7
South Dakota,2009-10,59.2
Tennessee,2009-10,48.7
Texas,2009-10,45.5
Region 10,2009-10,45.9
Utah,2009-10,49.7
Vermont,2009-10,57.8
Virginia,2009-10,54.9
Washington,2009-10,47.2
West Virginia,2009-10,50.2
Wisconsin,2009-10,46
Wyoming,2009-10,47.5
Alabama,2009-10,45.4
Alaska,2009-10,45.1
Arizona,2009-10,45.9
Arkansas,2009-10,55.1
California,2009-10,44.9
Colorado,2009-10,49.4
Connecticut,2009-10,51.3
Delaware,2009-10,52.6
District of Columbia,2009-10,49.6
Florida,2009-10,41.5
Georgia,2009-10,43.2
Hawaii,2009-10,62
Idaho,2009-10,42.6
Illinois,2009-10,47.5
Indiana,2009-10,49.9
Iowa,2009-10,56.5
Kansas,2009-10,50.7
Kentucky,2009-10,48
Louisiana,2009-10,48.2
Maine,2009-10,54.7
Maryland,2009-10,51.1
Massachusetts,2009-10,58.9
Michigan,2009-10,42.4
Minnesota,2009-10,56
Mississippi,2009-10,42.5
Missouri,2009-10,46.2
Montana,2009-10,43.8
Nebraska,2009-10,54.7
Nevada,2009-10,39.1
New Hampshire,2009-10,56.5
New Jersey,2009-10,45.6
New Mexico,2009-10,53.5
New York,2009-10,48.4
North Carolina,2009-10,48.4
North Dakota,2009-10,51.6
Ohio,2009-10,47
Oklahoma,2009-10,49
Oregon,2009-10,45.6
Pennsylvania,2009-10,49.4
United States,2009-10,47.6
Region 1,2009-10,56.5
Region 2,2009-10,47.5
Region 3,2009-10,51.4
Region 4,2009-10,44.9
Region 5,2009-10,47.4
Region 6,2009-10,47.4
Region 7,2009-10,50.6
Region 8,2009-10,49.8
Region 9,2009-10,45.2
Rhode Island,2009-10,60.6
South Carolina,2009-10,47.9
South Dakota,2009-10,59.2
Tennessee,2009-10,49.1
Texas,2009-10,45.7
Region 10,2009-10,46.4
Utah,2009-10,49.8
Vermont,2009-10,58.1
Virginia,2009-10,55.1
Washington,2009-10,47.8
West Virginia,2009-10,50.5
Wisconsin,2009-10,46.3
Wyoming,2009-10,47.6
Alabama,2009-10,45.8
Alaska,2009-10,45.1
Arizona,2009-10,45.9
Arkansas,2009-10,55.2
California,2009-10,45.4
Colorado,2009-10,49.7
Connecticut,2009-10,51.4
Delaware,2009-10,52.8
District of Columbia,2009-10,49.9
Florida,2009-10,41.5
Georgia,2009-10,43.4
Hawaii,2009-10,62.4
Idaho,2009-10,42.9
Illinois,2009-10,47.6
Indiana,2009-10,50.2
Iowa,2009-10,56.5
Kansas,2009-10,50.7
Kentucky,2009-10,48.4
Louisiana,2009-10,48.3
Maine,2009-10,54.7
Maryland,2009-10,51.2
Massachusetts,2009-10,59.4
Michigan,2009-10,42.8
Minnesota,2009-10,56
Mississippi,2009-10,42.5
Missouri,2009-10,46.2
Montana,2009-10,44
Nebraska,2009-10,54.7
Nevada,2009-10,39.3
New Hampshire,2009-10,56.5
New Jersey,2009-10,45.6
New Mexico,2009-10,54.3
New York,2009-10,48.4
North Carolina,2009-10,48.7
North Dakota,2009-10,51.6
Ohio,2009-10,47
Oklahoma,2009-10,49
Oregon,2009-10,45.6
Pennsylvania,2009-10,49.4
United States,2009-10,47.8
Region 1,2009-10,56.8
Region 2,2009-10,47.5
Region 3,2009-10,51.5
Region 4,2009-10,45.1
Region 5,2009-10,47.6
Region 6,2009-10,47.7
Region 7,2009-10,50.6
Region 8,2009-10,50
Region 9,2009-10,45.6
Rhode Island,2009-10,61.2
South Carolina,2009-10,47.9
South Dakota,2009-10,59.5
Tennessee,2009-10,49.1
Texas,2009-10,45.9
Region 10,2009-10,46.5
Utah,2009-10,49.8
Vermont,2009-10,58.1
Virginia,2009-10,55.2
Washington,2009-10,48
West Virginia,2009-10,50.5
Wisconsin,2009-10,46.8
Wyoming,2009-10,47.7
Alabama,2009-10,NR †
Alaska,2009-10,1.3
Arizona,2009-10,1.6
Arkansas,2009-10,NR †
California,2009-10,1.3
Colorado,2009-10,NR †
Connecticut,2009-10,1.6
Delaware,2009-10,1.6
District of Columbia,2009-10,NR †
Florida,2009-10,3
Georgia,2009-10,NR †
Hawaii,2009-10,4.1
Idaho,2009-10,NR †
Illinois,2009-10,2
Indiana,2009-10,1.4
Iowa,2009-10,2.1
Kansas,2009-10,1.5
Kentucky,2009-10,1.4
Louisiana,2009-10,NR †
Maine,2009-10,0.8
Maryland,2009-10,1.3
Massachusetts,2009-10,1.6
Michigan,2009-10,0.9
Minnesota,2009-10,1
Mississippi,2009-10,NR †
Missouri,2009-10,1.6
Montana,2009-10,NR †
Nebraska,2009-10,NR †
Nevada,2009-10,1.2
New Hampshire,2009-10,0.4
New Jersey,2009-10,2.1
New Mexico,2009-10,NR †
New York,2009-10,1
North Carolina,2009-10,2.4
North Dakota,2009-10,NR †
Ohio,2009-10,1.9
Oklahoma,2009-10,NR †
Oregon,2009-10,0.6
Pennsylvania,2009-10,1.2
United States,2009-10,1.8
Region 1,2009-10,1.4
Region 2,2009-10,1.3
Region 3,2009-10,1.4
Region 4,2009-10,2.6
Region 5,2009-10,1.6
Region 6,2009-10,2.1
Region 7,2009-10,1.7
Region 8,2009-10,NR †
Region 9,2009-10,1.4
Rhode Island,2009-10,1.5
South Carolina,2009-10,1.5
South Dakota,2009-10,NR †
Tennessee,2009-10,2.6
Texas,2009-10,2.5
Region 10,2009-10,0.8
Utah,2009-10,1
Vermont,2009-10,NR †
Virginia,2009-10,1.5
Washington,2009-10,0.8
West Virginia,2009-10,1.5
Wisconsin,2009-10,1.4
Wyoming,2009-10,0.8
Alabama,2009-10,13
Alaska,2009-10,8.2
Arizona,2009-10,8.8
Arkansas,2009-10,7.4
California,2009-10,7.9
Colorado,2009-10,13.9
Connecticut,2009-10,9.7
Delaware,2009-10,10.4
District of Columbia,2009-10,14.8
Florida,2009-10,10.4
Georgia,2009-10,10.7
Hawaii,2009-10,12.3
Idaho,2009-10,7.1
Illinois,2009-10,8.1
Indiana,2009-10,9.3
Iowa,2009-10,13.9
Kansas,2009-10,10.6
Kentucky,2009-10,10.4
Louisiana,2009-10,9.5
Maine,2009-10,12.2
Maryland,2009-10,10.9
Massachusetts,2009-10,13.9
Michigan,2009-10,8.8
Minnesota,2009-10,12
Mississippi,2009-10,6.5
Missouri,2009-10,9
Montana,2009-10,7
Nebraska,2009-10,9.8
Nevada,2009-10,7
New Hampshire,2009-10,8.4
New Jersey,2009-10,12
New Mexico,2009-10,9.7
New York,2009-10,9.3
North Carolina,2009-10,10.8
North Dakota,2009-10,10
Ohio,2009-10,10.7
Oklahoma,2009-10,8.1
Oregon,2009-10,7.8
Pennsylvania,2009-10,10.7
United States,2009-10,9.9
Region 1,2009-10,12.1
Region 2,2009-10,10.2
Region 3,2009-10,10.7
Region 4,2009-10,10.6
Region 5,2009-10,9.6
Region 6,2009-10,10.4
Region 7,2009-10,10.6
Region 8,2009-10,11
Region 9,2009-10,8.1
Rhode Island,2009-10,13.7
South Carolina,2009-10,9.1
South Dakota,2009-10,10.5
Tennessee,2009-10,12
Texas,2009-10,11.6
Region 10,2009-10,7.6
Utah,2009-10,8.8
Vermont,2009-10,7.3
Virginia,2009-10,10.9
Washington,2009-10,7.6
West Virginia,2009-10,7.2
Wisconsin,2009-10,10.8
Wyoming,2009-10,10.4
Alabama,2009-10,29.1
Alaska,2009-10,26
Arizona,2009-10,25.4
Arkansas,2009-10,34
California,2009-10,22.2
Colorado,2009-10,35
Connecticut,2009-10,31.4
Delaware,2009-10,29
District of Columbia,2009-10,35.8
Florida,2009-10,24.2
Georgia,2009-10,26.3
Hawaii,2009-10,40.4
Idaho,2009-10,24.1
Illinois,2009-10,27.8
Indiana,2009-10,31
Iowa,2009-10,34.4
Kansas,2009-10,28.5
Kentucky,2009-10,31.1
Louisiana,2009-10,27.4
Maine,2009-10,38.2
Maryland,2009-10,34.1
Massachusetts,2009-10,40.6
Michigan,2009-10,26.3
Minnesota,2009-10,34.2
Mississippi,2009-10,19.4
Missouri,2009-10,30
Montana,2009-10,24.9
Nebraska,2009-10,29.9
Nevada,2009-10,21.5
New Hampshire,2009-10,30.3
New Jersey,2009-10,33
New Mexico,2009-10,27.9
New York,2009-10,29.3
North Carolina,2009-10,31.9
North Dakota,2009-10,31.7
Ohio,2009-10,28.6
Oklahoma,2009-10,29.5
Oregon,2009-10,25
Pennsylvania,2009-10,30.9
United States,2009-10,28.3
Region 1,2009-10,36.7
Region 2,2009-10,30.5
Region 3,2009-10,33
Region 4,2009-10,27.7
Region 5,2009-10,28.6
Region 6,2009-10,28.2
Region 7,2009-10,30.4
Region 8,2009-10,31.2
Region 9,2009-10,23.2
Rhode Island,2009-10,37.4
South Carolina,2009-10,26
South Dakota,2009-10,34.1
Tennessee,2009-10,34.7
Texas,2009-10,27
Region 10,2009-10,21.7
Utah,2009-10,27.9
Vermont,2009-10,29
Virginia,2009-10,36.4
Washington,2009-10,22.1
West Virginia,2009-10,31.3
Wisconsin,2009-10,28.1
Wyoming,2009-10,32.9
Alabama,2009-10,39.6
Alaska,2009-10,39.3
Arizona,2009-10,39
Arkansas,2009-10,57.2
California,2009-10,35.6
Colorado,2009-10,47
Connecticut,2009-10,46.1
Delaware,2009-10,50.5
District of Columbia,2009-10,47.1
Florida,2009-10,37.3
Georgia,2009-10,34.5
Hawaii,2009-10,55.2
Idaho,2009-10,35.2
Illinois,2009-10,41.7
Indiana,2009-10,46
Iowa,2009-10,51.1
Kansas,2009-10,41.5
Kentucky,2009-10,45.4
Louisiana,2009-10,39.7
Maine,2009-10,59.8
Maryland,2009-10,48.2
Massachusetts,2009-10,53.7
Michigan,2009-10,36.2
Minnesota,2009-10,47.4
Mississippi,2009-10,33.9
Missouri,2009-10,40.2
Montana,2009-10,38.8
Nebraska,2009-10,47.1
Nevada,2009-10,32.9
New Hampshire,2009-10,49.4
New Jersey,2009-10,49.3
New Mexico,2009-10,41.2
New York,2009-10,44.4
North Carolina,2009-10,42.9
North Dakota,2009-10,47
Ohio,2009-10,43.9
Oklahoma,2009-10,43.1
Oregon,2009-10,37.5
Pennsylvania,2009-10,46.2
United States,2009-10,42.1
Region 1,2009-10,52.4
Region 2,2009-10,46
Region 3,2009-10,48.8
Region 4,2009-10,39.7
Region 5,2009-10,42
Region 6,2009-10,42.8
Region 7,2009-10,43.8
Region 8,2009-10,44.8
Region 9,2009-10,36.6
Rhode Island,2009-10,64.2
South Carolina,2009-10,42.3
South Dakota,2009-10,56.4
Tennessee,2009-10,46.6
Texas,2009-10,40.8
Region 10,2009-10,35.4
Utah,2009-10,41.3
Vermont,2009-10,53.1
Virginia,2009-10,52.6
Washington,2009-10,33.9
West Virginia,2009-10,54.8
Wisconsin,2009-10,40
Wyoming,2009-10,44.4
Alabama,2009-10,45
Alaska,2009-10,44.8
Arizona,2009-10,48.2
Arkansas,2009-10,63.4
California,2009-10,42.8
Colorado,2009-10,53.3
Connecticut,2009-10,52.6
Delaware,2009-10,56.2
District of Columbia,2009-10,50.8
Florida,2009-10,44.9
Georgia,2009-10,38.6
Hawaii,2009-10,64.2
Idaho,2009-10,40.1
Illinois,2009-10,46.9
Indiana,2009-10,53.1
Iowa,2009-10,56.9
Kansas,2009-10,50.2
Kentucky,2009-10,49.6
Louisiana,2009-10,46.8
Maine,2009-10,69.4
Maryland,2009-10,54.4
Massachusetts,2009-10,64
Michigan,2009-10,40.1
Minnesota,2009-10,55.2
Mississippi,2009-10,41.5
Missouri,2009-10,44.5
Montana,2009-10,42
Nebraska,2009-10,52.7
Nevada,2009-10,36.8
New Hampshire,2009-10,57.1
New Jersey,2009-10,55
New Mexico,2009-10,49.2
New York,2009-10,50.7
North Carolina,2009-10,46.2
North Dakota,2009-10,53.4
Ohio,2009-10,49.1
Oklahoma,2009-10,47.8
Oregon,2009-10,44.3
Pennsylvania,2009-10,54.7
United States,2009-10,48.5
Region 1,2009-10,61.6
Region 2,2009-10,52
Region 3,2009-10,56.4
Region 4,2009-10,45
Region 5,2009-10,47.6
Region 6,2009-10,49
Region 7,2009-10,49.9
Region 8,2009-10,50.4
Region 9,2009-10,43.9
Rhode Island,2009-10,75.6
South Carolina,2009-10,48.4
South Dakota,2009-10,60.9
Tennessee,2009-10,48.7
Texas,2009-10,47
Region 10,2009-10,41.9
Utah,2009-10,47
Vermont,2009-10,67.3
Virginia,2009-10,60.9
Washington,2009-10,40.9
West Virginia,2009-10,59.1
Wisconsin,2009-10,47.1
Wyoming,2009-10,48.6
Alabama,2009-10,48.7
Alaska,2009-10,47.8
Arizona,2009-10,51.6
Arkansas,2009-10,64.8
California,2009-10,47.7
Colorado,2009-10,54.3
Connecticut,2009-10,55.1
Delaware,2009-10,66.2
District of Columbia,2009-10,54.2
Florida,2009-10,47.2
Georgia,2009-10,41.8
Hawaii,2009-10,71.3
Idaho,2009-10,43.5
Illinois,2009-10,50.9
Indiana,2009-10,57.4
Iowa,2009-10,60.2
Kansas,2009-10,52.5
Kentucky,2009-10,52.7
Louisiana,2009-10,50.6
Maine,2009-10,71.4
Maryland,2009-10,59.2
Massachusetts,2009-10,68.7
Michigan,2009-10,44.2
Minnesota,2009-10,58.4
Mississippi,2009-10,44.7
Missouri,2009-10,45.6
Montana,2009-10,43.7
Nebraska,2009-10,55.2
Nevada,2009-10,40.2
New Hampshire,2009-10,62.7
New Jersey,2009-10,57
New Mexico,2009-10,54.6
New York,2009-10,54.9
North Carolina,2009-10,50.8
North Dakota,2009-10,55.8
Ohio,2009-10,54.5
Oklahoma,2009-10,49.7
Oregon,2009-10,46.7
Pennsylvania,2009-10,58.3
United States,2009-10,52.1
Region 1,2009-10,65.6
Region 2,2009-10,55.5
Region 3,2009-10,60.1
Region 4,2009-10,48.1
Region 5,2009-10,51.9
Region 6,2009-10,52.5
Region 7,2009-10,52.1
Region 8,2009-10,51.9
Region 9,2009-10,48.6
Rhode Island,2009-10,79.8
South Carolina,2009-10,51.3
South Dakota,2009-10,64.1
Tennessee,2009-10,51.3
Texas,2009-10,50.8
Region 10,2009-10,44.5
Utah,2009-10,48.6
Vermont,2009-10,70.9
Virginia,2009-10,63.4
Washington,2009-10,43.3
West Virginia,2009-10,60.7
Wisconsin,2009-10,51.7
Wyoming,2009-10,50.4
